day,step,power
229,90,1148.2248960190136
229,91,1148.0918894830663
229,92,1147.9588829471184
229,93,1147.8258764111706
229,94,1147.6928698752229
229,95,1147.559863339275
230,0,1147.4268568033274
230,1,1147.2938502673796
230,2,1147.160843731432
230,3,1147.0278371954844
230,4,1146.8948306595366
230,5,1146.761824123589
230,6,1146.6288175876412
230,7,1146.4958110516934
230,8,1146.3628045157457
230,9,1146.2297979797977
230,10,1146.0967914438502
230,11,1145.963784907903
230,12,1145.830778371955
230,13,1145.6977718360072
230,14,1145.5647653000594
230,15,1145.4317587641117
230,16,1145.298752228164
230,17,1145.1657456922164
230,18,1145.0327391562687
230,19,1144.899732620321
230,20,1144.7667260843732
230,21,1144.6337195484257
230,22,1144.5007130124775
230,23,1144.3677064765295
230,24,1144.234699940582
230,25,1144.1016934046345
230,26,1143.9686868686867
230,27,1143.8356803327397
230,28,1143.7026737967915
230,29,1143.569667260844
230,30,1143.4366607248965
230,31,1143.3036541889485
230,32,1143.1706476530007
230,33,1143.037641117053
230,34,1142.904634581105
230,35,1142.7716280451575
230,36,1142.6386215092098
230,37,1142.5056149732625
230,38,1142.3726084373145
230,39,1142.2396019013663
230,40,1142.1065953654188
230,41,1141.9735888294713
230,42,1141.8405822935235
230,43,1141.7075757575758
230,44,1141.574569221628
230,45,1141.4415626856803
230,46,1141.3085561497326
230,47,1141.175549613785
230,48,1141.0425430778373
230,49,1140.909536541889
230,50,1140.7765300059418
230,51,1140.643523469994
230,52,1140.5105169340463
230,53,1140.3775103980986
230,54,1140.2445038621509
230,55,1140.111497326203
230,56,1139.9784907902556
230,57,1139.8454842543076
230,58,1139.71247771836
230,59,1139.5794711824126
230,60,1139.4464646464648
230,61,1139.313458110517
230,62,1139.1804515745696
230,63,1139.0474450386214
230,64,1138.914438502674
230,65,1138.781431966726
230,66,1138.6484254307786
230,67,1138.5154188948306
230,68,1138.382412358883
230,69,1138.2494058229352
230,70,1138.1163992869876
230,71,1137.9833927510397
230,72,1137.850386215092
230,73,1137.7173796791442
230,74,1137.5843731431962
230,75,1137.451366607249
230,76,1137.318360071301
230,77,1137.1853535353534
230,78,1137.0523469994057
230,79,1136.919340463458
230,80,1136.7863339275102
230,81,1136.6533273915627
230,82,1136.520320855615
230,83,1136.3873143196672
230,84,1136.2543077837197
230,85,1136.121301247772
230,86,1135.9882947118242
230,87,1135.8552881758765
230,88,1135.7222816399287
230,89,1135.589275103981
230,90,1135.4562685680332
230,91,1135.3232620320855
230,92,1135.1902554961378
230,93,1135.0572489601902
230,94,1134.9242424242425
230,95,1134.791235888295
231,0,1134.658229352347
231,1,1134.5252228163993
231,2,1134.3922162804515
231,3,1134.2592097445036
231,4,1134.1262032085565
231,5,1133.9931966726083
231,6,1133.8601901366608
231,7,1133.727183600713
231,8,1133.5941770647653
231,9,1133.461170528817
231,10,1133.3281639928698
231,11,1133.1951574569223
231,12,1133.0621509209743
231,13,1132.9291443850268
231,14,1132.796137849079
231,15,1132.663131313131
231,16,1132.5301247771838
231,17,1132.397118241236
231,18,1132.2641117052883
231,19,1132.1311051693406
231,20,1131.9980986333928
231,21,1131.865092097445
231,22,1131.7320855614976
231,23,1131.5990790255494
231,24,1131.466072489602
231,25,1131.333065953654
231,26,1131.2000594177064
231,27,1131.0670528817586
231,28,1130.9340463458109
231,29,1130.8010398098634
231,30,1130.6680332739156
231,31,1130.535026737968
231,32,1130.4020202020204
231,33,1130.2690136660726
231,34,1130.1360071301249
231,35,1130.0030005941771
231,36,1129.8699940582294
231,37,1129.736987522282
231,38,1129.603980986334
231,39,1129.4709744503862
231,40,1129.3379679144384
231,41,1129.204961378491
231,42,1129.0719548425432
231,43,1128.9389483065952
231,44,1128.8059417706477
231,45,1128.6729352347002
231,46,1128.5399286987522
231,47,1128.4069221628044
231,48,1128.2739156268567
231,49,1128.140909090909
231,50,1128.0079025549612
231,51,1127.8748960190137
231,52,1127.741889483066
231,53,1127.6088829471182
231,54,1127.4758764111705
231,55,1127.3428698752227
231,56,1127.2098633392752
231,57,1127.0768568033277
231,58,1126.9438502673795
231,59,1126.810843731432
231,60,1126.6778371954845
231,61,1126.5448306595367
231,62,1126.4118241235892
231,63,1126.2788175876417
231,64,1126.1458110516935
231,65,1126.0128045157458
231,66,1125.8797979797982
231,67,1125.74679144385
231,68,1125.6137849079023
231,69,1125.4807783719548
231,70,1125.3477718360073
231,71,1125.2147653000595
231,72,1125.0817587641118
231,73,1124.948752228164
231,74,1124.8157456922163
231,75,1124.6827391562686
231,76,1124.5497326203208
231,77,1124.416726084373
231,78,1124.283719548425
231,79,1124.1507130124778
231,80,1124.01770647653
231,81,1123.8846999405823
231,82,1123.7516934046346
231,83,1123.618686868687
231,84,1123.485680332739
231,85,1123.3526737967916
231,86,1123.2196672608438
231,87,1123.086660724896
231,88,1122.9536541889483
231,89,1122.8206476530008
231,90,1122.6876411170529
231,91,1122.5546345811051
231,92,1122.4216280451574
231,93,1122.2886215092096
231,94,1122.155614973262
231,95,1122.022608437314
232,0,1121.8896019013666
232,1,1121.756595365419
232,2,1121.6235888294711
232,3,1121.4905822935232
232,4,1121.357575757576
232,5,1121.224569221628
232,6,1121.0915626856806
232,7,1120.9585561497329
232,8,1120.8255496137851
232,9,1120.6925430778374
232,10,1120.5595365418897
232,11,1120.426530005942
232,12,1120.2935234699942
232,13,1120.1605169340464
232,14,1120.027510398099
232,15,1119.8945038621512
232,16,1119.7614973262034
232,17,1119.6284907902557
232,18,1119.4954842543082
232,19,1119.36247771836
232,20,1119.2294711824122
232,21,1119.0964646464645
232,22,1118.9634581105167
232,23,1118.8304515745692
232,24,1118.6974450386217
232,25,1118.5644385026735
232,26,1118.4314319667258
232,27,1118.2984254307785
232,28,1118.1654188948305
232,29,1118.0324123588828
232,30,1117.899405822935
232,31,1117.7663992869873
232,32,1117.6333927510398
232,33,1117.500386215092
232,34,1117.3673796791445
232,35,1117.2343731431968
232,36,1117.101366607249
232,37,1116.9683600713015
232,38,1116.8353535353535
232,39,1116.7023469994058
232,40,1116.5693404634585
232,41,1116.4363339275103
232,42,1116.3033273915628
232,43,1116.1703208556148
232,44,1116.0373143196673
232,45,1115.9043077837196
232,46,1115.7713012477718
232,47,1115.6382947118238
232,48,1115.5052881758763
232,49,1115.3722816399286
232,50,1115.2392751039808
232,51,1115.106268568033
232,52,1114.9732620320856
232,53,1114.8402554961378
232,54,1114.7072489601903
232,55,1114.5742424242426
232,56,1114.4412358882948
232,57,1114.308229352347
232,58,1114.1752228163996
232,59,1114.0422162804518
232,60,1113.909209744504
232,61,1113.7762032085564
232,62,1113.6431966726088
232,63,1113.5101901366609
232,64,1113.3771836007131
232,65,1113.2441770647654
232,66,1113.111170528818
232,67,1112.97816399287
232,68,1112.8451574569222
232,69,1112.7121509209744
232,70,1112.5791443850264
232,71,1112.4461378490792
232,72,1112.3131313131312
232,73,1112.1801247771834
232,74,1112.0471182412357
232,75,1111.914111705288
232,76,1111.7811051693404
232,77,1111.6480986333927
232,78,1111.515092097445
232,79,1111.3820855614974
232,80,1111.2490790255497
232,81,1111.116072489602
232,82,1110.9830659536542
232,83,1110.850059417706
232,84,1110.7170528817587
232,85,1110.5840463458107
232,86,1110.4510398098632
232,87,1110.3180332739155
232,88,1110.185026737968
232,89,1110.0520202020205
232,90,1109.9190136660725
232,91,1109.7860071301247
232,92,1109.653000594177
232,93,1109.5199940582297
232,94,1109.3869875222815
232,95,1109.2539809863338
233,0,1109.1209744503865
233,1,1108.9879679144385
233,2,1108.8549613784908
233,3,1108.7219548425433
233,4,1108.5889483065955
233,5,1108.4559417706475
233,6,1108.3229352347
233,7,1108.1899286987525
233,8,1108.0569221628043
233,9,1107.9239156268568
233,10,1107.790909090909
233,11,1107.6579025549615
233,12,1107.5248960190138
233,13,1107.391889483066
233,14,1107.258882947118
233,15,1107.1258764111708
233,16,1106.992869875223
233,17,1106.8598633392753
233,18,1106.726856803327
233,19,1106.5938502673796
233,20,1106.460843731432
233,21,1106.327837195484
233,22,1106.1948306595364
233,23,1106.0618241235888
233,24,1105.928817587641
233,25,1105.7958110516936
233,26,1105.6628045157456
233,27,1105.529797979798
233,28,1105.3967914438504
233,29,1105.2637849079026
233,30,1105.1307783719549
233,31,1104.997771836007
233,32,1104.8647653000594
233,33,1104.7317587641116
233,34,1104.598752228164
233,35,1104.4657456922164
233,36,1104.3327391562686
233,37,1104.199732620321
233,38,1104.0667260843732
233,39,1103.933719548426
233,40,1103.800713012478
233,41,1103.6677064765302
233,42,1103.5346999405824
233,43,1103.4016934046344
233,44,1103.268686868687
233,45,1103.1356803327392
233,46,1103.0026737967914
233,47,1102.8696672608437
233,48,1102.736660724896
233,49,1102.6036541889482
233,50,1102.4706476530007
233,51,1102.337641117053
233,52,1102.2046345811052
233,53,1102.0716280451577
233,54,1101.93862150921
233,55,1101.805614973262
233,56,1101.6726084373142
233,57,1101.5396019013665
233,58,1101.406595365419
233,59,1101.273588829471
233,60,1101.1405822935233
233,61,1101.0075757575755
233,62,1100.874569221628
233,63,1100.7415626856805
233,64,1100.6085561497327
233,65,1100.475549613785
233,66,1100.3425430778373
233,67,1100.2095365418895
233,68,1100.0765300059418
233,69,1099.943523469994
233,70,1099.8105169340463
233,71,1099.6775103980983
233,72,1099.5445038621508
233,73,1099.4114973262033
233,74,1099.278490790255
233,75,1099.145484254308
233,76,1099.01247771836
233,77,1098.8794711824123
233,78,1098.7464646464648
233,79,1098.6134581105166
233,80,1098.480451574569
233,81,1098.3474450386216
233,82,1098.2144385026738
233,83,1098.0814319667263
233,84,1097.9484254307783
233,85,1097.8154188948304
233,86,1097.6824123588829
233,87,1097.5494058229351
233,88,1097.4163992869874
233,89,1097.2833927510396
233,90,1097.150386215092
233,91,1097.0173796791444
233,92,1096.8843731431966
233,93,1096.7513666072489
233,94,1096.6183600713011
233,95,1096.485353535354
234,0,1096.352346999406
234,1,1096.219340463458
234,2,1096.0863339275106
234,3,1095.9533273915629
234,4,1095.820320855615
234,5,1095.6873143196672
234,6,1095.55430778372
234,7,1095.421301247772
234,8,1095.2882947118244
